	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1485	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1485	1705851	1708325	-1	C	K00688	glycogen phosphorylase [EC:2.4.1.1]								Carbohydrate phosphorylase [PF00343.23]; Protein of unknown function (DUF3417) [PF11897.11]	GT35	GT35 glycogen or starch phosphorylase (EC 2.4.1.1).	2.4.1.1	GT35.hmm	0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1486	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1486	1708451	1709281	-1	D										DNA polymerase III, delta subunit [PF13177.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1487	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1487	1709278	1709934	-1	C	K00943	dTMP kinase [EC:2.7.4.9]								Thymidylate kinase [PF02223.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1488	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1488	1710064	1710552	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1489	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1489	1710903	1711799	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1490	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1490	1711968	1712393	-1	D										RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) [PF00076.25]; RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain) [PF13893.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1491	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1491	1712608	1714434	-1	C	K20035	3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]								Acetyl-CoA dehydrogenase C-terminal like [PF12806.10]; Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1492	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1492	1714492	1716054	-1	D										Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1493	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1493	1716164	1717642	-1	C	K23980	cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]	MER0853975	M20F	MER0853975 - subfamily M20F unassigned peptidases (Myxococcus stipitatus) [M20.UPF]#M20F#{peptidase unit: 9-456}~source L7UIR8~	True	0.57	493.0	5.561e-153	Peptidase family M20/M25/M40 [PF01546.31]; Peptidase dimerisation domain [PF07687.17]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1494	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1494	1717670	1718065	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1495	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1495	1718108	1719031	1	D										Cytochrome C assembly protein [PF01578.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1496	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1496	1719053	1720105	1	C	K01424	L-asparaginase [EC:3.5.1.1]								Asparaginase, N-terminal [PF00710.23]; Glutaminase/Asparaginase C-terminal domain [PF17763.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1497	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1497	1720108	1721490	1	C	K02492	glutamyl-tRNA reductase [EC:1.2.1.70]								Glutamyl-tRNAGlu reductase, N-terminal domain [PF05201.18]; Shikimate / quinate 5-dehydrogenase [PF01488.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1498	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1498	1721679	1722554	1	D										PD-(D/E)XK nuclease family transposase [PF12784.10]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1499	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1499	1722686	1723768	1	C	K01749	hydroxymethylbilane synthase [EC:2.5.1.61]								Porphobilinogen deaminase, dipyromethane cofactor binding domain [PF01379.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1500	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1500	1723801	1724550	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1501	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1501	1724650	1725159	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1502	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1502	1725179	1725451	1	D										BolA-like protein [PF01722.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1503	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1503	1725483	1725800	1	C	K07390	monothiol glutaredoxin								Glutaredoxin [PF00462.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1504	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1504	1725887	1727284	1	C	K07071	uncharacterized protein								NAD dependent epimerase/dehydratase family [PF01370.24]; Domain of unknown function (DUF1731) [PF08338.14]; Polyketide cyclase / dehydrase and lipid transport [PF03364.23]; RmlD substrate binding domain [PF04321.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1505	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1505	1727382	1728578	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1506	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1506	1728882	1729736	-1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.21]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1507	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1507	1729739	1732552	-1	C	K02335	DNA polymerase I [EC:2.7.7.7]								DNA polymerase family A [PF00476.23]; 5'-3' exonuclease, N-terminal resolvase-like domain [PF02739.19]; 5'-3' exonuclease, C-terminal SAM fold [PF01367.23]; 3'-5' exonuclease [PF01612.23]; Exonuclease [PF00929.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1508	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1508	1732628	1734106	-1	C	K04567	lysyl-tRNA synthetase, class II [EC:6.1.1.6]								tRNA synthetases class II (D, K and N) [PF00152.23]; OB-fold nucleic acid binding domain [PF01336.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1509	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1509	1734110	1734958	-1	D										ABC 3 transport family [PF00950.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1510	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1510	1735014	1735685	-1	D										ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1511	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1511	1735708	1736628	-1	D										Zinc-uptake complex component A periplasmic [PF01297.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1512	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1512	1736625	1737848	-1	C	K02004	putative ABC transport system permease protein								FtsX-like permease family [PF02687.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1513	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1513	1737845	1738531	-1	D										ABC transporter [PF00005.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1514	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1514	1738750	1739253	1	D										Protein of unknown function (DUF3015) [PF11220.11]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1515	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1515	1739331	1740224	-1	D										Transposase DDE domain [PF13612.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1516	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1516	1740367	1742286	1	D										Domain of unknown function (DUF4105) [PF13387.9]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1517	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1517	1742325	1742687	1	D										Bacterial DNA-binding protein [PF00216.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1518	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1518	1742684	1743778	1	C	K19802	L-Ala-D/L-Glu epimerase [EC:5.1.1.20]								Enolase C-terminal domain-like [PF13378.9]; Mandelate racemase / muconate lactonizing enzyme, N-terminal domain [PF02746.19]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1519	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1519	1743805	1745253	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1520	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1520	1745578	1748163	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1521	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1521	1748285	1748920	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1522	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1522	1748928	1749665	1	D										ODP family beta lactamase [PF19583.2]; Metallo-beta-lactamase superfamily [PF00753.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1523	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1523	1749684	1750046	1	C	K03406	methyl-accepting chemotaxis protein	MER0501642	M23B	MER0501642 - subfamily M23B unassigned peptidases (Clostridium saccharobutylicum) [M23.UPB]#M23B#{peptidase unit: 361-556}~source YP_008673405~	False	0.414	70.0	1.405e-13	Methyl-accepting chemotaxis protein (MCP) signalling domain [PF00015.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1524	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1524	1750069	1751790	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; Hpt domain [PF01627.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1525	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1525	1751790	1752230	1	D										CheW-like domain [PF01584.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1526	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1526	1752230	1753162	1	D										Response regulator receiver domain [PF00072.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1527	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1527	1753177	1753869	1	C	K17725	sulfur dioxygenase [EC:1.13.11.18]								Metallo-beta-lactamase superfamily [PF00753.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1528	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1528	1753892	1754269	-1	D										Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1529	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1529	1754266	1755030	-1	D										Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1530	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1530	1755078	1755758	-1	C	K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]								O-methyltransferase [PF01596.20]; Methyltransferase domain [PF13578.9]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1531	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1531	1755985	1757010	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1532	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1532	1757003	1758130	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1533	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1533	1758114	1758911	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1534	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1534	1758901	1759563	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1535	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1535	1759564	1760394	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1536	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1536	1760403	1762322	-1	D										Bacterial type II and III secretion system protein [PF00263.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1537	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1537	1762583	1762879	1	C	K02651	pilus assembly protein Flp/PilA													0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1538	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1538	1762894	1763712	1	C	K02279	pilus assembly protein CpaB													0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1539	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1539	1763675	1765165	1	C	K02283	pilus assembly protein CpaF [EC:7.4.2.8]								Type II/IV secretion system protein [PF00437.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1540	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1540	1765167	1765838	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1541	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1541	1765840	1766397	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1542	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1542	1766419	1766913	1	D										Winged helix DNA-binding domain [PF13463.9]; MarR family [PF12802.10]; MarR family [PF01047.25]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1543	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1543	1766910	1767941	-1	D										ROK family [PF00480.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1544	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1544	1768100	1769227	-1	D										Fusaric acid resistance protein-like [PF13515.9]; Fusaric acid resistance protein family [PF04632.15]; Aluminium activated malate transporter [PF11744.11]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1545	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1545	1769231	1770325	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1546	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1546	1770318	1770962	-1	C	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]								Phosphoribosyl transferase domain [PF00156.30]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1547	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1547	1770952	1772112	-1	D										Dihydroorotate dehydrogenase [PF01180.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1548	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1548	1772105	1773094	-1	C	K01485	cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]	MER0152568	M38	MER0152568 - family M38 non-peptidase homologues (Haemophilus parasuis) [M38.UNW]#M38#{peptidase unit: 22-300}~source ACL33207~	False	0.489	253.0	3.569e-73	Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1549	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1549	1773187	1774497	-1	C	K01940	argininosuccinate synthase [EC:6.3.4.5]								Arginosuccinate synthase [PF00764.22]; Queuosine biosynthesis protein QueC [PF06508.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1550	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1550	1774714	1775997	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1551	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1551	1776233	1777420	1	C	K01447	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]								N-acetylmuramoyl-L-alanine amidase [PF01510.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1552	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1552	1777428	1779626	-1	C	K01915	glutamine synthetase [EC:6.3.1.2]								Glutamine synthetase type III N terminal [PF12437.11]; Glutamine synthetase C-terminal domain [PF18318.4]; Glutamine synthetase, catalytic domain [PF00120.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1553	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1553	1779684	1780427	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1554	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1554	1780449	1781873	-1	D										DHH family [PF01368.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1555	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1555	1782083	1782871	1	D										S-adenosylmethionine decarboxylase [PF02675.18]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1556	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1556	1783055	1784368	1	D										ABC1 atypical kinase-like domain [PF03109.19]; Protein tyrosine and serine/threonine kinase [PF07714.20]; Protein kinase domain [PF00069.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1557	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1557	1784371	1784793	1	C	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]								6-pyruvoyl tetrahydropterin synthase [PF01242.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1558	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1558	1784945	1785583	-1	C	K03975	membrane-associated protein								SNARE associated Golgi protein [PF09335.14]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1559	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1559	1785723	1786820	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1560	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1560	1786804	1787463	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1561	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1561	1787450	1788094	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1562	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1562	1788097	1789293	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1563	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1563	1789333	1790211	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1564	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1564	1790208	1792979	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1565	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1565	1792998	1793384	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1566	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1566	1793411	1794139	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1567	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1567	1795040	1796875	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1568	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1568	1797000	1797653	1	C	K03748	SanA protein								DUF218 domain [PF02698.20]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1569	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1569	1797664	1798449	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1570	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1570	1798464	1798643	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1571	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1571	1798615	1798887	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1572	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1572	1798956	1799384	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1573	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1573	1799392	1799568	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1574	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1574	1799731	1800990	1	C	K01939	adenylosuccinate synthase [EC:6.3.4.4]								Adenylosuccinate synthetase [PF00709.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1575	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1575	1801086	1802354	1	D										Phosphofructokinase [PF00365.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1576	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1576	1802451	1802918	1	C	K04047	starvation-inducible DNA-binding protein								Ferritin-like domain [PF00210.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1577	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1577	1803243	1803434	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1578	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1578	1803574	1804914	-1	C	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]								Histidyl-tRNA synthetase [PF13393.9]; Anticodon binding domain [PF03129.23]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1579	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1579	1805151	1805933	1	C	K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]								Putative undecaprenyl diphosphate synthase [PF01255.22]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1580	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1580	1805952	1807742	1	C	K11749	regulator of sigma E protease [EC:3.4.24.-]	MER0897678	M50B	MER0897678 - RseP peptidase (Hydrogenivirga sp. 128-5-R1-1) [M50.004]#M50B#{peptidase unit: 1-435}~source A8UV75~	False	0.243	184.0	1.146e-46	Peptidase family M50 [PF02163.25]; PDZ domain [PF13180.9]; PDZ domain [PF17820.4]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1581	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1581	1807754	1808422	1	D										tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1582	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1582	1808671	1809957	1	D										RRXRR protein [PF14239.9]; HNH endonuclease [PF14279.9]; HNH endonuclease [PF13395.9]; HNH endonuclease [PF01844.26]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1583	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1583	1809932	1810120	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1584	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1584	1810122	1811024	1	C	K17103	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]								CDP-alcohol phosphatidyltransferase [PF01066.24]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1585	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1585	1811048	1812130	1	C	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]								Semialdehyde dehydrogenase, dimerisation domain [PF02774.21]; Semialdehyde dehydrogenase, NAD binding domain [PF01118.27]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1586	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1586	1812146	1814350	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1587	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1587	1814347	1814607	-1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1588	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1588	1814701	1815639	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1589	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1589	1815727	1816356	1	D			MER1113273	S85	MER1113273 -  (Listeria monocytogenes) [S85.UNW]#S85#{peptidase unit: 26-194}~source Q8Y8U6~	False	0.405	106.0	1.887e-24	YceI-like domain [PF04264.16]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1590	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1590	1816410	1816766	1	E															0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1591	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1591	1816779	1817132	1	D										Predicted integral membrane protein (DUF2282) [PF10048.12]					0
Spirobacillus_cienkowskii_FI-SP1.fasta_assembly_contig_1_1592	Spirobacillus_cienkowskii_FI-SP1.fasta_assembly	contig_1	1592	1817138	1817998	1	C	K09930	uncharacterized protein								Protein of unknown function (DUF692) [PF05114.16]					0
