# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Spiro2_06235        K02029  214.40  235.8   1.3e-70 polar amino acid transport system permease protein
* Spiro2_06240        K00674  154.13  248.4   2.1e-74 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
* Spiro2_06270        K02385   43.30   65.0   7.3e-19 flagellar protein FlbD
* Spiro2_06275        K07040   23.73   61.7   1.1e-17 DUF177 domain-containing protein
* Spiro2_06310        K04096   27.57  226.0   1.8e-67 DNA processing protein
* Spiro2_06350        K02410   67.63  177.5   6.8e-53 flagellar motor switch protein FliG
* Spiro2_06355        K02234  229.33  249.3   7.6e-75 cobalamin biosynthesis protein CobW
* Spiro2_06385        K03550   47.90  203.5   5.5e-61 holliday junction DNA helicase RuvA [EC:5.6.2.4]
* Spiro2_06390        K03551  179.33  495.3  2.8e-149 holliday junction DNA helicase RuvB [EC:5.6.2.4]
* Spiro2_06395        K02030   87.27   96.5   2.4e-28 polar amino acid transport system substrate-binding protein
* Spiro2_06405        K03596  928.83 1054.8         0 GTP-binding protein LepA
* Spiro2_06420        K07494   57.07   76.2   4.2e-22 putative transposase
* Spiro2_06430        K07494   57.07   76.2   4.2e-22 putative transposase
* Spiro2_06440        K01425  100.83  387.8  1.3e-116 glutaminase [EC:3.5.1.2]
* Spiro2_06445        K03406   58.43  178.6   3.2e-53 methyl-accepting chemotaxis protein
* Spiro2_06455        K07098   87.40  272.5   8.1e-82 uncharacterized protein
* Spiro2_06465        K03408  104.57  203.4   7.9e-61 purine-binding chemotaxis protein CheW
* Spiro2_06475        K02945  144.83  450.1  1.6e-135 small subunit ribosomal protein S1
* Spiro2_06480        K04773  184.53  243.7   6.1e-73 protease IV [EC:3.4.21.-]
* Spiro2_06485        K02221   23.00   32.0     2e-08 YggT family protein
* Spiro2_06495        K03415  173.67  285.6   8.9e-86 two-component system, chemotaxis family, chemotaxis protein CheV
* Spiro2_06505        K02036  259.20  426.0  1.2e-128 phosphate transport system ATP-binding protein [EC:7.3.2.1]
* Spiro2_06510        K02038  250.23  284.1   2.8e-85 phosphate transport system permease protein
* Spiro2_06515        K02037  265.70  322.4   9.8e-97 phosphate transport system permease protein
* Spiro2_06520        K02040   56.30  198.3   4.2e-59 phosphate transport system substrate-binding protein
* Spiro2_06530        K02051  147.47  153.8   1.4e-45 NitT/TauT family transport system substrate-binding protein
* Spiro2_06545        K01885  297.17  593.1  1.3e-178 glutamyl-tRNA synthetase [EC:6.1.1.17]
* Spiro2_06550        K07263  253.47  468.4  6.5e-141 zinc protease [EC:3.4.24.-]
* Spiro2_06570        K00856  118.37  140.5   8.1e-42 adenosine kinase [EC:2.7.1.20]
* Spiro2_06590        K03676   75.33   94.9   6.8e-28 glutaredoxin 3
* Spiro2_06600        K00615  226.40  643.3  9.2e-194 transketolase [EC:2.2.1.1]
* Spiro2_06620        K06960   48.37  102.0   4.3e-30 uncharacterized protein
* Spiro2_06630        K00453   86.60  114.8   7.6e-34 tryptophan 2,3-dioxygenase [EC:1.13.11.11]
* Spiro2_06635        K00864  517.80  608.9  2.1e-183 glycerol kinase [EC:2.7.1.30]
* Spiro2_06640        K01207  255.37  295.4   1.3e-88 beta-N-acetylhexosaminidase [EC:3.2.1.52]
* Spiro2_06645        K03832   35.50   43.5   6.2e-12 periplasmic protein TonB
* Spiro2_06650        K05540  282.07  348.4  8.3e-105 tRNA-dihydrouridine synthase B [EC:1.-.-.-]
* Spiro2_06655        K06941   81.27  408.7  4.9e-123 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
* Spiro2_06675        K01919  165.50  214.1   6.7e-64 glutamate--cysteine ligase [EC:6.3.2.2]
* Spiro2_06680        K03559   27.47  120.3   1.4e-35 biopolymer transport protein ExbD
* Spiro2_06685        K03561   54.67  151.4   7.7e-45 biopolymer transport protein ExbB
* Spiro2_06690        K06888   60.30  194.5   4.7e-58 uncharacterized protein
* Spiro2_06695        K09808  206.23  297.4   2.7e-89 lipoprotein-releasing system permease protein
* Spiro2_06695        K02004   43.17   67.2   1.2e-19 putative ABC transport system permease protein
* Spiro2_06700        K03695 1084.80 1176.7         0 ATP-dependent Clp protease ATP-binding subunit ClpB
* Spiro2_06720        K01779   95.97  135.6   3.6e-40 aspartate racemase [EC:5.1.1.13]
* Spiro2_06750        K03408  104.57  107.1   1.6e-31 purine-binding chemotaxis protein CheW
* Spiro2_06755        K03407  562.53  660.7  5.3e-199 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
* Spiro2_06760        K06287  202.73  238.8   1.5e-71 nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]
* Spiro2_06765        K06997   71.83  212.8   9.7e-64 PLP dependent protein
* Spiro2_06780        K04066  129.50  601.9  3.5e-181 primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]
* Spiro2_06785        K18697  109.50  158.0   4.5e-47 phosphatidylglycerophosphatase C [EC:3.1.3.27]
* Spiro2_06820        K11936  259.27  314.3   1.7e-94 poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
* Spiro2_06840        K01061   92.70  202.7   1.8e-60 carboxymethylenebutenolidase [EC:3.1.1.45]
* Spiro2_06845        K07636  308.83  327.2   2.3e-98 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
* Spiro2_06850        K07560   38.10  133.4   1.3e-39 D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
* Spiro2_06855        K01845  313.57  573.7    9e-173 glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
* Spiro2_06860        K01937   98.03  796.8  2.4e-240 CTP synthase [EC:6.3.4.2]
* Spiro2_06870        K01953  134.53  276.7   6.1e-83 asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
* Spiro2_06880        K05595   72.17  201.3   2.7e-60 multiple antibiotic resistance protein
* Spiro2_06885        K02030   87.27   91.0   1.1e-26 polar amino acid transport system substrate-binding protein
* Spiro2_06890        K06941   81.27  471.9  3.5e-142 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
* Spiro2_06900        K00948   66.17  475.3  3.1e-143 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
* Spiro2_06905        K01299  207.83  597.8  2.7e-180 carboxypeptidase Taq [EC:3.4.17.19]
* Spiro2_06915        K03101   31.43  137.5   7.2e-41 signal peptidase II [EC:3.4.23.36]
* Spiro2_06925        K03412  201.00  346.5  4.3e-104 two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
* Spiro2_06930        K03415  173.67  327.2   2.2e-98 two-component system, chemotaxis family, chemotaxis protein CheV
* Spiro2_06935        K03407  562.53  653.6  7.4e-197 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
* Spiro2_06945        K03408  104.57  124.6   7.4e-37 purine-binding chemotaxis protein CheW
* Spiro2_06950        K03413  139.13  161.9   2.8e-48 two-component system, chemotaxis family, chemotaxis protein CheY
* Spiro2_06955        K07574   36.73  102.5   3.7e-30 RNA-binding protein
* Spiro2_06960        K01495   41.60  292.8   3.7e-88 GTP cyclohydrolase IA [EC:3.5.4.16]
* Spiro2_06965        K01778   71.53  158.1     4e-47 diaminopimelate epimerase [EC:5.1.1.7]
* Spiro2_06995        K01744  706.17  895.5  4.1e-270 aspartate ammonia-lyase [EC:4.3.1.1]
* Spiro2_07005        K03569  113.77  555.6  1.2e-167 rod shape-determining protein MreB and related proteins
* Spiro2_07015        K01447  104.60  141.2   6.7e-42 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* Spiro2_07025        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_07060        K07496   25.43  224.5   4.3e-67 putative transposase
* Spiro2_07085        K25227  428.87  940.7  8.4e-284 linear primary-alkylsulfatase [EC:3.1.6.21]
* Spiro2_07145        K04095   43.93   91.0   1.4e-26 cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]
* Spiro2_07195        K07492   77.37  193.6   5.9e-58 putative transposase
* Spiro2_07215        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_07265        K15125  285.90  789.3  1.4e-237 filamentous hemagglutinin
* Spiro2_07410        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_07450        K03650  175.23  450.0  3.1e-135 tRNA modification GTPase [EC:3.6.-.-]
* Spiro2_07455        K06346   69.53  137.8   7.4e-41 spoIIIJ-associated protein
* Spiro2_07460        K03217  116.30  255.4   1.2e-76 YidC/Oxa1 family membrane protein insertase
* Spiro2_07465        K03536   21.03   53.5   4.6e-15 ribonuclease P protein component [EC:3.1.26.5]
* Spiro2_07490        K06204   37.50   94.8   1.2e-27 RNA polymerase-binding transcription factor
* Spiro2_07495        K00140  494.57  578.0  4.9e-174 malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
* Spiro2_07515        K03495  401.53 1002.6  2.9e-302 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
* Spiro2_07520        K02030   87.27  133.8   1.1e-39 polar amino acid transport system substrate-binding protein
* Spiro2_07525        K01178  147.00  154.2   8.6e-46 glucoamylase [EC:3.2.1.3]
* Spiro2_07530        K07405  326.00  528.1  4.4e-159 alpha-amylase [EC:3.2.1.1]
* Spiro2_07540        K00688   75.07  313.9   3.3e-94 glycogen phosphorylase [EC:2.4.1.1]
* Spiro2_07550        K00943   94.83  159.3     2e-47 dTMP kinase [EC:2.7.4.9]
* Spiro2_07570        K20035  603.83  669.5  7.3e-202 3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]
* Spiro2_07580        K23980  378.33  477.2  6.5e-144 cysteinylglycine-S-conjugate dipeptidase [EC:3.4.13.23]
* Spiro2_07595        K01424  104.60  286.9   5.5e-86 L-asparaginase [EC:3.5.1.1]
* Spiro2_07600        K02492   69.63  294.5   2.2e-88 glutamyl-tRNA reductase [EC:1.2.1.70]
* Spiro2_07610        K01749  130.00  305.0   1.9e-91 hydroxymethylbilane synthase [EC:2.5.1.61]
* Spiro2_07630        K07390   83.00  132.4   3.3e-39 monothiol glutaredoxin
* Spiro2_07635        K07071  111.30  397.8  1.7e-119 uncharacterized protein
* Spiro2_07645        K03118   57.77  255.2   1.5e-76 sec-independent protein translocase protein TatC
* Spiro2_07650        K02335  474.93  974.9  9.9e-294 DNA polymerase I [EC:2.7.7.7]
* Spiro2_07655        K04567  309.17  585.0  2.7e-176 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* Spiro2_07675        K02004   43.17   67.6   9.1e-20 putative ABC transport system permease protein
* Spiro2_07705        K19802  297.70  392.2  4.4e-118 L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]
* Spiro2_07730        K03406   58.43   94.4     1e-27 methyl-accepting chemotaxis protein
* Spiro2_07750        K17725  157.43  206.2   1.1e-61 sulfur dioxygenase [EC:1.13.11.18]
* Spiro2_07765        K00588  113.50  168.0   3.7e-50 caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
* Spiro2_07805        K02651   26.47   39.4     1e-10 pilus assembly protein Flp/PilA
* Spiro2_07810        K02279   50.97   88.0   1.3e-25 pilus assembly protein CpaB
* Spiro2_07815        K02283  329.87  496.0  2.1e-149 pilus assembly protein CpaF [EC:7.4.2.8]
* Spiro2_07860        K01485  156.53  182.5   1.9e-54 cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
* Spiro2_07865        K01940  120.67  536.7    1e-161 argininosuccinate synthase [EC:6.3.4.5]
* Spiro2_07875        K01447  104.60  107.9     9e-32 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* Spiro2_07880        K01915   64.73  130.3   1.3e-38 glutamine synthetase [EC:6.3.1.2]
* Spiro2_07895        K01611   21.37   35.0   1.3e-09 S-adenosylmethionine decarboxylase [EC:4.1.1.50]
* Spiro2_07905        K01737   29.93  119.4   2.9e-35 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
* Spiro2_07910        K03975   64.70  252.6   9.7e-76 membrane-associated protein
* Spiro2_07960        K03748  126.03  198.3   2.6e-59 SanA protein
* Spiro2_07990        K01939  144.77  459.9  1.4e-138 adenylosuccinate synthase [EC:6.3.4.4]
* Spiro2_08000        K04047   79.70  177.2     8e-53 starvation-inducible DNA-binding protein
* Spiro2_08010        K01892  270.87  368.5  9.1e-111 histidyl-tRNA synthetase [EC:6.1.1.21]
* Spiro2_08015        K00806  337.37  361.2  8.6e-109 undecaprenyl diphosphate synthase [EC:2.5.1.31]
* Spiro2_08020        K11749   86.27  233.9   5.1e-70 regulator of sigma E protease [EC:3.4.24.-]
* Spiro2_08040        K17103  126.00  239.9   5.6e-72 CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
* Spiro2_08045        K00133  216.70  370.8  2.2e-111 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
* Spiro2_08080        K09930   64.53  288.9   1.1e-86 uncharacterized protein
* Spiro2_08090        K13522  167.17  268.9   9.6e-81 bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]
* Spiro2_08095        K03773  281.40  291.8     1e-87 FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
* Spiro2_08095        K01802   85.87  109.0   4.2e-32 peptidylprolyl isomerase [EC:5.2.1.8]
* Spiro2_08100        K01803   26.00  286.6   4.9e-86 triosephosphate isomerase (TIM) [EC:5.3.1.1]
* Spiro2_08105        K00927   93.63  528.9  1.9e-159 phosphoglycerate kinase [EC:2.7.2.3]
* Spiro2_08110        K00971  254.40  419.0    6e-126 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
* Spiro2_08115        K01599  181.60  422.7  3.1e-127 uroporphyrinogen decarboxylase [EC:4.1.1.37]
* Spiro2_08120        K08602  130.97  583.7  8.2e-176 oligoendopeptidase F [EC:3.4.24.-]
* Spiro2_08125        K03783  169.37  285.4   1.5e-85 purine-nucleoside phosphorylase [EC:2.4.2.1]
* Spiro2_08130        K00760   84.37  200.5   4.1e-60 hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
* Spiro2_08150        K01159   31.13  140.4   1.4e-41 crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]
* Spiro2_08160        K05837  387.17  396.0  3.2e-119 rod shape determining protein RodA
* Spiro2_08165        K05515  504.40  672.0  1.8e-202 penicillin-binding protein 2 [EC:3.4.16.4]
* Spiro2_08175        K03570   63.03  217.1   4.3e-65 rod shape-determining protein MreC
* Spiro2_08180        K03770  170.43  180.8   9.1e-54 peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]
* Spiro2_08185        K00858   40.47   81.6   7.3e-24 NAD+ kinase [EC:2.7.1.23]
* Spiro2_08190        K00331  281.37  306.7   4.8e-92 NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
* Spiro2_08215        K01048  201.47  307.9   1.6e-92 lysophospholipase [EC:3.1.1.5]
* Spiro2_08225        K11358  339.03  415.7    3e-125 aspartate aminotransferase [EC:2.6.1.1]
* Spiro2_08230        K02406  135.40  334.5  1.5e-100 flagellin
* Spiro2_08255        K00873   75.73  567.8  4.1e-171 pyruvate kinase [EC:2.7.1.40]
* Spiro2_08260        K01867  146.83  271.7   2.3e-81 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* Spiro2_08265        K04764  116.60  140.8   4.2e-42 integration host factor subunit alpha
* Spiro2_08280        K01338  858.03 1054.2         0 ATP-dependent Lon protease [EC:3.4.21.53]
* Spiro2_08285        K02482  281.63  281.9   1.4e-84 two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
* Spiro2_08295        K02913   21.77   46.3   5.8e-13 large subunit ribosomal protein L33
* Spiro2_08315        K01255  415.97  437.4  1.5e-131 leucyl aminopeptidase [EC:3.4.11.1]
* Spiro2_08320        K08307  134.27  147.2     1e-43 membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
* Spiro2_08325        K02050  143.60  164.7   4.2e-49 NitT/TauT family transport system permease protein
* Spiro2_08335        K07491   16.23   46.2   7.6e-13 REP-associated tyrosine transposase
* Spiro2_08340        K07496   25.43  221.2   4.3e-66 putative transposase
* Spiro2_08355        K09952  170.60  704.3  4.9e-212 CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]
* Spiro2_08365        K15342   70.57  167.7   5.7e-50 CRISP-associated protein Cas1
* Spiro2_08375        K03070  284.90 1197.7         0 preprotein translocase subunit SecA [EC:7.4.2.8]
* Spiro2_08390        K07391   79.33  344.2    2e-103 magnesium chelatase family protein
* Spiro2_08405        K03688  418.50  477.5    9e-144 ubiquinone biosynthesis protein
* Spiro2_08420        K02503   85.73  159.4   1.3e-47 histidine triad (HIT) family protein [EC:3.9.1.-]
* Spiro2_08425        K07090   38.60  160.2     1e-47 uncharacterized protein
* Spiro2_08435        K01619   42.73  253.9   3.9e-76 deoxyribose-phosphate aldolase [EC:4.1.2.4]
* Spiro2_08460        K02390  171.07  382.3  3.8e-115 flagellar hook protein FlgE
* Spiro2_08465        K02389   36.90  153.6   1.7e-45 flagellar basal-body rod modification protein FlgD
* Spiro2_08475        K02950   76.53  232.5   5.4e-70 small subunit ribosomal protein S12
* Spiro2_08480        K02992  101.53  219.5   5.4e-66 small subunit ribosomal protein S7
* Spiro2_08485        K03311  218.23  281.0     2e-84 branched-chain amino acid:cation transporter, LIVCS family
* Spiro2_08525        K03496  133.93  181.5   4.5e-54 chromosome partitioning protein
* Spiro2_08550        K02406  135.40  342.0  7.5e-103 flagellin
* Spiro2_08575        K01776  100.53  212.6   1.2e-63 glutamate racemase [EC:5.1.1.3]
* Spiro2_08590        K02422   28.97  155.2   2.5e-46 flagellar secretion chaperone FliS
* Spiro2_08595        K02407   62.70  280.9   3.5e-84 flagellar hook-associated protein 2
* Spiro2_08605        K02805  382.47  513.2  6.3e-155 dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
* Spiro2_08630        K00761  212.17  262.9   5.4e-79 uracil phosphoribosyltransferase [EC:2.4.2.9]
* Spiro2_08635        K00876  136.37  214.0   4.9e-64 uridine kinase [EC:2.7.1.48]
* Spiro2_08645        K02067   84.10  137.8   6.3e-41 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
* Spiro2_08650        K02065  290.27  333.0  2.9e-100 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
* Spiro2_08655        K02066   41.53  257.4   4.2e-77 phospholipid/cholesterol/gamma-HCH transport system permease protein
* Spiro2_08660        K01551   75.50   83.3   2.4e-24 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
* Spiro2_08665        K01551   75.50   96.7     2e-28 arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
* Spiro2_08675        K08264  318.93  362.8  3.5e-109 heterodisulfide reductase subunit D [EC:1.8.98.1]
* Spiro2_08680        K03274  292.13  382.1  5.8e-115 ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
* Spiro2_08685        K04094  333.27  579.4  7.7e-175 methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]
* Spiro2_08710        K07397   76.27   86.7   2.6e-25 putative redox protein
* Spiro2_08715        K15383   51.60  108.2   6.3e-32 MtN3 and saliva related transmembrane protein
* Spiro2_08720        K03581  248.73  421.1  1.2e-126 exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
* Spiro2_08735        K02990   23.33  107.2   1.5e-31 small subunit ribosomal protein S6
* Spiro2_08745        K02939   55.03  123.5   1.9e-36 large subunit ribosomal protein L9
* Spiro2_08755        K07478  198.23  374.2  1.5e-112 putative ATPase
* Spiro2_08760        K03820  125.90  126.9   1.4e-37 apolipoprotein N-acyltransferase [EC:2.3.1.269]
* Spiro2_08785        K03110  291.30  447.4  7.5e-135 fused signal recognition particle receptor
* Spiro2_08790        K03502  357.27  468.9  3.2e-141 DNA polymerase V
* Spiro2_08795        K03503  123.80  204.9     2e-61 DNA polymerase V [EC:3.4.21.-]
* Spiro2_08815        K13626   54.60  196.1   8.5e-59 flagellar assembly factor FliW
* Spiro2_08825        K07799  437.50  443.1  2.2e-133 membrane fusion protein, multidrug efflux system
* Spiro2_08825        K03585  262.33  269.3   1.1e-80 membrane fusion protein, multidrug efflux system
* Spiro2_08830        K07788 1517.40 1534.7         0 multidrug efflux pump
* Spiro2_08835        K07789 1470.00 1493.0         0 multidrug efflux pump
* Spiro2_08855        K01714  258.20  279.0     1e-83 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
* Spiro2_08865        K00432   66.07  253.8     5e-76 glutathione peroxidase [EC:1.11.1.9]
* Spiro2_08880        K01710  486.60  499.1  1.8e-150 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
* Spiro2_08885        K00973  241.53  457.4  9.1e-138 glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
* Spiro2_08890        K04078   25.80  146.7   1.1e-43 chaperonin GroES
* Spiro2_08895        K04077  143.97  880.4    1e-265 chaperonin GroEL [EC:5.6.1.7]
* Spiro2_08900        K06901   96.93  456.0  3.7e-137 adenine/guanine/hypoxanthine permease
* Spiro2_08925        K01624   85.67  344.9  1.5e-103 fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
* Spiro2_08935        K18682  107.43  367.4  1.5e-110 ribonucrease Y [EC:3.1.-.-]
* Spiro2_08940        K01092  206.07  248.2   1.8e-74 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
* Spiro2_08945        K05366  624.77  698.4  1.9e-210 penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
* Spiro2_08965        K25156  292.00  312.1     8e-94 viologen exporter family transport system ATP-binding protein
* Spiro2_09010        K00766  134.97  253.8   5.1e-76 anthranilate phosphoribosyltransferase [EC:2.4.2.18]
* Spiro2_09020        K03431  447.67  621.2    3e-187 phosphoglucosamine mutase [EC:5.4.2.10]
* Spiro2_09030        K18672   82.27  311.2   1.4e-93 diadenylate cyclase [EC:2.7.7.85]
* Spiro2_09035        K03634   51.40  100.4   1.7e-29 outer membrane lipoprotein carrier protein
* Spiro2_09045        K13292   44.50  258.7   1.2e-77 phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
* Spiro2_09060        K11527  630.87  675.6  1.6e-203 two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
* Spiro2_09070        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_09110        K00556  164.20  194.6   3.9e-58 tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]
* Spiro2_09115        K01712  293.97  736.7  4.4e-222 urocanate hydratase [EC:4.2.1.49]
* Spiro2_09120        K01468  207.33  378.9  7.8e-114 imidazolonepropionase [EC:3.5.2.7]
* Spiro2_09140        K13378  588.93  689.4  4.5e-208 NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
* Spiro2_09140        K00333  517.80  535.9    1e-161 NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
* Spiro2_09160        K00338  147.70  164.5   4.5e-49 NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
* Spiro2_09170        K25156  292.00  332.8  4.3e-100 viologen exporter family transport system ATP-binding protein
* Spiro2_09175        K25155  109.63  113.9   1.2e-33 viologen exporter family transport system permease protein
* Spiro2_09210        K02398   23.80   73.6   3.3e-21 negative regulator of flagellin synthesis FlgM
* Spiro2_09220        K02396   90.63  403.7  3.4e-121 flagellar hook-associated protein 1
* Spiro2_09225        K02397  148.93  182.0   2.5e-54 flagellar hook-associated protein 3 FlgL
* Spiro2_09230        K03206  163.83  178.3   1.8e-53 azobenzene reductase [EC:1.7.1.6]
* Spiro2_09260        K07494   57.07   75.4   7.4e-22 putative transposase
* Spiro2_09290        K01726  179.63  213.0   8.4e-64 gamma-carbonic anhydrase [EC:4.2.1.-]
* Spiro2_09355        K03412  201.00  395.4  6.9e-119 two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
* Spiro2_09355        K00575  185.83  234.4   4.5e-70 chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
* Spiro2_09360        K03406   58.43  224.2   4.9e-67 methyl-accepting chemotaxis protein
* Spiro2_09365        K03408  104.57  127.0   1.4e-37 purine-binding chemotaxis protein CheW
* Spiro2_09375        K11942  961.07 1727.8         0 isobutyryl-CoA mutase [EC:5.4.99.13]
* Spiro2_09390        K03587  455.93  520.7  6.8e-157 cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
* Spiro2_09400        K00558  160.00  298.3   1.1e-89 DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
* Spiro2_09460        K01835  367.33  396.1  5.8e-119 phosphoglucomutase [EC:5.4.2.2]
* Spiro2_09475        K00954   81.37  168.0     4e-50 pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
* Spiro2_09480        K00252  504.23  638.5  2.7e-192 glutaryl-CoA dehydrogenase [EC:1.3.8.6]
* Spiro2_09485        K03424   93.63  272.2   1.4e-81 TatD DNase family protein [EC:3.1.21.-]
* Spiro2_09495        K03579  586.00  711.9  1.9e-214 ATP-dependent helicase HrpB [EC:3.6.4.13]
* Spiro2_09515        K00626  353.63  388.0  1.3e-116 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* Spiro2_09520        K18189   99.20  190.7   4.4e-57 translational activator of cytochrome c oxidase 1
* Spiro2_09540        K02558  379.27  562.0  1.9e-169 UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
* Spiro2_09540        K01297   77.87  133.6   1.2e-39 muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
* Spiro2_09565        K02970   26.10   67.2   2.4e-19 small subunit ribosomal protein S21
* Spiro2_09570        K02316  137.07  368.7  1.1e-110 DNA primase [EC:2.7.7.101]
* Spiro2_09575        K03086  457.00  515.4  2.8e-155 RNA polymerase primary sigma factor
* Spiro2_09585        K00819  497.77  690.2    5e-208 ornithine--oxo-acid transaminase [EC:2.6.1.13]
* Spiro2_09590        K03628  199.13  773.4  1.9e-233 transcription termination factor Rho
* Spiro2_09600        K07494   57.07   76.2   4.2e-22 putative transposase
* Spiro2_09635        K02879   34.43  167.6   7.5e-50 large subunit ribosomal protein L17
* Spiro2_09640        K03040   52.07  375.7  2.9e-113 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
* Spiro2_09645        K02948   96.00  171.8   3.2e-51 small subunit ribosomal protein S11
* Spiro2_09650        K02952  114.17  192.4   1.9e-57 small subunit ribosomal protein S13
* Spiro2_09655        K02919   23.10   53.6   4.4e-15 large subunit ribosomal protein L36
* Spiro2_09660        K02518   43.67   87.3   1.3e-25 translation initiation factor IF-1
* Spiro2_09665        K00939  119.30  121.5   5.7e-36 adenylate kinase [EC:2.7.4.3]
* Spiro2_09670        K03076  208.70  500.6  5.7e-151 preprotein translocase subunit SecY
* Spiro2_09675        K02876   76.20  140.6   1.4e-41 large subunit ribosomal protein L15
* Spiro2_09680        K02907   40.40   51.4   1.5e-14 large subunit ribosomal protein L30
* Spiro2_09685        K02988  138.77  214.8   1.9e-64 small subunit ribosomal protein S5
* Spiro2_09690        K02881   48.80  128.8   4.6e-38 large subunit ribosomal protein L18
* Spiro2_09695        K02933  109.90  236.5   5.4e-71 large subunit ribosomal protein L6
