locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_00780	CDS	2328	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
BAMDCOFK_00781	CDS	1200				hypothetical protein
BAMDCOFK_00782	CDS	1401				hypothetical protein
BAMDCOFK_00783	CDS	984				hypothetical protein
BAMDCOFK_00784	CDS	1581	yveA_2		COG0531	Aspartate-proton symporter
BAMDCOFK_00785	CDS	1485				hypothetical protein
BAMDCOFK_00786	CDS	1191				hypothetical protein
BAMDCOFK_00787	CDS	741				IS21 family transposase ISCsa9
BAMDCOFK_00788	CDS	1530				IS21 family transposase ISPpu7
BAMDCOFK_00789	CDS	933				hypothetical protein
BAMDCOFK_00790	CDS	849	putB	1.5.5.2	COG0506	Proline dehydrogenase 2
BAMDCOFK_00791	CDS	240				hypothetical protein
BAMDCOFK_00792	CDS	195				hypothetical protein
BAMDCOFK_00793	CDS	2667	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
BAMDCOFK_00794	CDS	1329	fucP		COG0738	L-fucose-proton symporter
BAMDCOFK_00795	CDS	342				hypothetical protein
BAMDCOFK_00796	CDS	1908	feoB		COG0370	Fe(2+) transporter FeoB
BAMDCOFK_00797	CDS	180				hypothetical protein
BAMDCOFK_00798	CDS	1401	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
BAMDCOFK_00799	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_00800	CDS	411				hypothetical protein
BAMDCOFK_00801	CDS	1854				hypothetical protein
BAMDCOFK_00802	CDS	273				hypothetical protein
BAMDCOFK_00803	CDS	714				hypothetical protein
BAMDCOFK_00804	CDS	315				hypothetical protein
BAMDCOFK_00805	CDS	660	aroK	2.7.1.71		Shikimate kinase
BAMDCOFK_00806	CDS	771	cah	4.2.1.1	COG3338	Carbonic anhydrase
BAMDCOFK_00807	CDS	897	gspK	2.7.1.8	COG2971	Glucosamine kinase GspK
BAMDCOFK_00808	CDS	1155	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
BAMDCOFK_00809	CDS	1362	cinA		COG1058	CinA-like protein
BAMDCOFK_00810	CDS	672	cmk_2	2.7.4.25		Cytidylate kinase
BAMDCOFK_00811	CDS	342	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
BAMDCOFK_00812	CDS	1482	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
BAMDCOFK_00813	CDS	1500	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
BAMDCOFK_00814	CDS	408				hypothetical protein
BAMDCOFK_00815	CDS	405				hypothetical protein
BAMDCOFK_00816	CDS	972				hypothetical protein
BAMDCOFK_00817	CDS	861				hypothetical protein
BAMDCOFK_00818	CDS	468				hypothetical protein
BAMDCOFK_00819	CDS	1671	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
BAMDCOFK_00820	CDS	1080	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BAMDCOFK_00821	CDS	1638	nadB	1.4.3.16	COG0029	L-aspartate oxidase
BAMDCOFK_00822	CDS	627				hypothetical protein
BAMDCOFK_00823	CDS	561	frr		COG0233	Ribosome-recycling factor
BAMDCOFK_00824	CDS	786	folE2	3.5.4.16	COG1469	GTP cyclohydrolase FolE2
BAMDCOFK_00825	CDS	489				hypothetical protein
BAMDCOFK_00826	CDS	438				hypothetical protein
BAMDCOFK_00827	CDS	744				hypothetical protein
BAMDCOFK_00828	CDS	1203				hypothetical protein
BAMDCOFK_00829	CDS	753				hypothetical protein
BAMDCOFK_00830	CDS	672				hypothetical protein
BAMDCOFK_00831	CDS	801				hypothetical protein
BAMDCOFK_00832	CDS	459				hypothetical protein
BAMDCOFK_00833	CDS	1230	gspF		COG1459	Putative type II secretion system protein F
BAMDCOFK_00834	CDS	1818				hypothetical protein
BAMDCOFK_00835	CDS	2352	sctC_1			Type 3 secretion system secretin
BAMDCOFK_00836	CDS	942				hypothetical protein
BAMDCOFK_00837	CDS	930				hypothetical protein
BAMDCOFK_00838	CDS	1620				hypothetical protein
BAMDCOFK_00839	CDS	1875				hypothetical protein
BAMDCOFK_00840	CDS	1458	norR_4			Anaerobic nitric oxide reductase transcription regulator NorR
BAMDCOFK_00841	CDS	1158				hypothetical protein
BAMDCOFK_00842	CDS	246				hypothetical protein
BAMDCOFK_00843	CDS	2961	mutS_1		COG0249	DNA mismatch repair protein MutS
BAMDCOFK_00844	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA 
BAMDCOFK_00845	CDS	1122	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BAMDCOFK_00846	CDS	912		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
BAMDCOFK_00847	CDS	969	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
BAMDCOFK_00848	CDS	978		1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
BAMDCOFK_00849	CDS	1260	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
BAMDCOFK_00850	CDS	1107				hypothetical protein
BAMDCOFK_00851	CDS	456				hypothetical protein
BAMDCOFK_00852	CDS	1029			COG0330	putative protein
BAMDCOFK_00853	CDS	870	speE_2	2.5.1.16		Polyamine aminopropyltransferase
BAMDCOFK_00854	CDS	2223				hypothetical protein
BAMDCOFK_00855	CDS	1326				hypothetical protein
BAMDCOFK_00856	CDS	1512				hypothetical protein
BAMDCOFK_00857	CDS	1500				hypothetical protein
BAMDCOFK_00858	CDS	1500				hypothetical protein
BAMDCOFK_00859	CDS	1158	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BAMDCOFK_00860	CDS	435				hypothetical protein
BAMDCOFK_00861	CDS	1794	secD		COG0342	Protein translocase subunit SecD
BAMDCOFK_00862	CDS	1071	secF			Protein translocase subunit SecF
BAMDCOFK_00863	CDS	1782	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
BAMDCOFK_00864	CDS	1143				hypothetical protein
BAMDCOFK_00865	CDS	1491				hypothetical protein
BAMDCOFK_00866	CDS	1257	dctA		COG1301	C4-dicarboxylate transport protein
BAMDCOFK_00867	CDS	1332	eryB	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
BAMDCOFK_00868	CDS	1284	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
BAMDCOFK_00869	CDS	594				hypothetical protein
BAMDCOFK_00870	CDS	1035	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
BAMDCOFK_00871	CDS	2088	ettA_2		COG0488	Energy-dependent translational throttle protein EttA
BAMDCOFK_00872	CDS	906	speE_3	2.5.1.16		Polyamine aminopropyltransferase
BAMDCOFK_00873	CDS	2016	prc_1	3.4.21.102	COG0793	Tail-specific protease
BAMDCOFK_00874	CDS	486	fur		COG0735	Ferric uptake regulation protein
BAMDCOFK_00875	CDS	1563				hypothetical protein
BAMDCOFK_00876	CDS	939	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
BAMDCOFK_00877	CDS	351				hypothetical protein
BAMDCOFK_00878	CDS	1077				hypothetical protein
BAMDCOFK_00879	CDS	1203				hypothetical protein
BAMDCOFK_00880	CDS	264				hypothetical protein
BAMDCOFK_00881	CDS	732				hypothetical protein
BAMDCOFK_00882	CDS	945	mdh	1.1.1.37		Malate dehydrogenase
BAMDCOFK_00883	CDS	741	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
BAMDCOFK_00884	CDS	663	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
BAMDCOFK_00885	CDS	990				hypothetical protein
BAMDCOFK_00886	CDS	774	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
BAMDCOFK_00887	CDS	1077				hypothetical protein
BAMDCOFK_00888	CDS	489				hypothetical protein
BAMDCOFK_00889	CDS	747				hypothetical protein
BAMDCOFK_00890	CDS	975	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
BAMDCOFK_00891	CDS	966	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
BAMDCOFK_00892	CDS	927	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
BAMDCOFK_00893	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
BAMDCOFK_00894	CDS	1647	oppA		COG4166	Periplasmic oligopeptide-binding protein
BAMDCOFK_00895	CDS	654				hypothetical protein
BAMDCOFK_00896	CDS	3507	metH	2.1.1.13	COG0646	Methionine synthase
BAMDCOFK_00897	CDS	291				hypothetical protein
BAMDCOFK_00898	CDS	1875	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
BAMDCOFK_00899	CDS	726	walR		COG0745	Transcriptional regulatory protein WalR
BAMDCOFK_00900	CDS	966	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_00901	CDS	2250				hypothetical protein
BAMDCOFK_00902	CDS	798	ftsE		COG2884	Cell division ATP-binding protein FtsE
BAMDCOFK_00903	CDS	1293				hypothetical protein
BAMDCOFK_00904	CDS	672	lipB	2.3.1.181	COG0321	Octanoyltransferase
BAMDCOFK_00905	CDS	720				hypothetical protein
BAMDCOFK_00906	CDS	1188				hypothetical protein
BAMDCOFK_00907	CDS	1242	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
BAMDCOFK_00908	CDS	570				hypothetical protein
BAMDCOFK_00909	CDS	750	sufC		COG0396	Vegetative protein 296
BAMDCOFK_00910	CDS	1449				hypothetical protein
BAMDCOFK_00911	CDS	1284				hypothetical protein
BAMDCOFK_00912	CDS	336				hypothetical protein
BAMDCOFK_00913	CDS	498				hypothetical protein
BAMDCOFK_00914	CDS	648				hypothetical protein
BAMDCOFK_00915	CDS	879				hypothetical protein
BAMDCOFK_00916	CDS	540				hypothetical protein
BAMDCOFK_00917	CDS	933				hypothetical protein
BAMDCOFK_00918	CDS	1896				hypothetical protein
BAMDCOFK_00919	tRNA	90				tRNA-Ser(cga)
BAMDCOFK_00920	CDS	399				hypothetical protein
BAMDCOFK_00921	CDS	771				hypothetical protein
BAMDCOFK_00922	CDS	405				hypothetical protein
BAMDCOFK_00923	CDS	1440				hypothetical protein
BAMDCOFK_00924	CDS	405				hypothetical protein
BAMDCOFK_00925	CDS	1134				IS200/IS605 family transposase ISPa83
BAMDCOFK_00926	CDS	276				hypothetical protein
BAMDCOFK_00927	CDS	1221	gltT_1			Proton/sodium-glutamate symport protein
BAMDCOFK_00928	CDS	855	emrA			Colistin resistance protein EmrA
BAMDCOFK_00929	CDS	1551	farB			Fatty acid resistance protein FarB
BAMDCOFK_00930	CDS	1332	dtpD		COG3104	Dipeptide permease D
BAMDCOFK_00931	CDS	969	purM	6.3.3.1		Phosphoribosylformylglycinamidine cyclo-ligase
BAMDCOFK_00932	CDS	597	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
BAMDCOFK_00933	CDS	2322	purD	6.3.4.13		Phosphoribosylamine--glycine ligase
BAMDCOFK_00934	CDS	792	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
BAMDCOFK_00935	CDS	1203	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
BAMDCOFK_00936	CDS	513	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
BAMDCOFK_00937	CDS	1476	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
BAMDCOFK_00938	CDS	2541	purL	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurL
BAMDCOFK_00939	CDS	807	purQ	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurQ
BAMDCOFK_00940	CDS	1611	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
BAMDCOFK_00941	CDS	1848				hypothetical protein
BAMDCOFK_00942	CDS	375				hypothetical protein
BAMDCOFK_00943	CDS	639				hypothetical protein
BAMDCOFK_00944	CDS	2079				hypothetical protein
BAMDCOFK_00945	CDS	444				hypothetical protein
BAMDCOFK_00946	CDS	723	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
BAMDCOFK_00947	CDS	969	hag_5		COG1344	Flagellin
BAMDCOFK_00948	CDS	714				hypothetical protein
BAMDCOFK_00949	CDS	1416	bamA_2			Outer membrane protein assembly factor BamA
BAMDCOFK_00950	CDS	600	betI			HTH-type transcriptional regulator BetI
BAMDCOFK_00951	CDS	1116				hypothetical protein
BAMDCOFK_00952	CDS	1632				hypothetical protein
BAMDCOFK_00953	CDS	921			COG1344	Flagellar filament 33 kDa core protein
BAMDCOFK_00954	CDS	540				hypothetical protein
BAMDCOFK_00955	CDS	1116	ilvK	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase 2
BAMDCOFK_00956	tRNA	75				tRNA-Gln(ttg)
BAMDCOFK_00957	CDS	678	cusR		COG0745	Transcriptional regulatory protein CusR
BAMDCOFK_00958	CDS	570				hypothetical protein
BAMDCOFK_00959	CDS	564				hypothetical protein
BAMDCOFK_00960	CDS	249				hypothetical protein
BAMDCOFK_00961	CDS	1005				hypothetical protein
BAMDCOFK_00962	CDS	288				hypothetical protein
BAMDCOFK_00963	CDS	453				hypothetical protein
BAMDCOFK_00964	CDS	219				hypothetical protein
BAMDCOFK_00965	CDS	144				hypothetical protein
BAMDCOFK_00966	CDS	1620	ctaDII	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1-beta
BAMDCOFK_00967	CDS	1149				hypothetical protein
BAMDCOFK_00968	CDS	4920				hypothetical protein
BAMDCOFK_00969	CDS	480				hypothetical protein
BAMDCOFK_00970	CDS	1881				hypothetical protein
BAMDCOFK_00971	CDS	945				hypothetical protein
BAMDCOFK_00972	CDS	3885				hypothetical protein
BAMDCOFK_00973	CDS	1245	gltT_2			Proton/sodium-glutamate symport protein
BAMDCOFK_00974	CDS	837	mltF	4.2.2.-		Membrane-bound lytic murein transglycosylase F
BAMDCOFK_00975	CDS	999	fliG_1		COG1536	Flagellar motor switch protein FliG
BAMDCOFK_00976	CDS	1245				hypothetical protein
BAMDCOFK_00977	CDS	1344	yscN	7.1.2.2		putative ATP synthase YscN
BAMDCOFK_00978	CDS	459				hypothetical protein
BAMDCOFK_00979	CDS	579				hypothetical protein
BAMDCOFK_00980	CDS	1419	rlmL_1	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
BAMDCOFK_00981	CDS	1674				hypothetical protein
BAMDCOFK_00982	CDS	1302				hypothetical protein
BAMDCOFK_00983	CDS	3147				hypothetical protein
BAMDCOFK_00984	CDS	699				hypothetical protein
BAMDCOFK_00985	CDS	492		1.11.1.15		Peroxiredoxin
BAMDCOFK_00986	CDS	801				hypothetical protein
BAMDCOFK_00987	CDS	681				hypothetical protein
BAMDCOFK_00988	CDS	1299	tig	5.2.1.8		Trigger factor
BAMDCOFK_00989	CDS	249				hypothetical protein
BAMDCOFK_00990	CDS	3135	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
BAMDCOFK_00991	CDS	672	lepB_1	3.4.21.89	COG0681	Signal peptidase I
BAMDCOFK_00992	CDS	609	rpsD			30S ribosomal protein S4
BAMDCOFK_00993	CDS	1035				hypothetical protein
BAMDCOFK_00994	CDS	912	folD		COG0190	Bifunctional protein FolD protein
BAMDCOFK_00995	CDS	1923	speA	4.1.1.19		Biosynthetic arginine decarboxylase
BAMDCOFK_00996	CDS	480				hypothetical protein
BAMDCOFK_00997	CDS	237	infA_1		COG0361	Translation initiation factor IF-1
BAMDCOFK_00998	CDS	2847	mutS2	3.1.-.-		Endonuclease MutS2
BAMDCOFK_00999	CDS	1311	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
BAMDCOFK_01000	CDS	681				hypothetical protein
BAMDCOFK_01001	CDS	807				hypothetical protein
BAMDCOFK_01002	CDS	702				hypothetical protein
BAMDCOFK_01003	CDS	978				hypothetical protein
BAMDCOFK_01004	CDS	255				hypothetical protein
BAMDCOFK_01005	CDS	306				hypothetical protein
BAMDCOFK_01006	CDS	1587				hypothetical protein
BAMDCOFK_01007	CDS	1455				hypothetical protein
BAMDCOFK_01008	CDS	2151				hypothetical protein
BAMDCOFK_01009	CDS	903				hypothetical protein
BAMDCOFK_01010	CDS	1431	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
BAMDCOFK_01011	CDS	981	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
BAMDCOFK_01012	CDS	777				hypothetical protein
BAMDCOFK_01013	CDS	717				hypothetical protein
BAMDCOFK_01014	CDS	1623	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BAMDCOFK_01015	CDS	1824	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_01016	CDS	2076	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_01017	CDS	1092				hypothetical protein
BAMDCOFK_01018	CDS	843				hypothetical protein
BAMDCOFK_01019	CDS	915				hypothetical protein
BAMDCOFK_01020	CDS	1620	yveA_3		COG0531	Aspartate-proton symporter
BAMDCOFK_01021	CDS	1596	menD	2.2.1.9		2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
BAMDCOFK_01022	CDS	2133	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
BAMDCOFK_01023	CDS	585	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
BAMDCOFK_01024	CDS	1659	murJ		COG0728	putative lipid II flippase MurJ
BAMDCOFK_01025	CDS	744				hypothetical protein
BAMDCOFK_01026	CDS	1239				hypothetical protein
BAMDCOFK_01027	CDS	522	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
BAMDCOFK_01028	CDS	912				hypothetical protein
BAMDCOFK_01029	CDS	1395	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
BAMDCOFK_01030	CDS	381				hypothetical protein
BAMDCOFK_01031	CDS	1431	epmA	6.3.1.-		Elongation factor P--(R)-beta-lysine ligase
BAMDCOFK_01032	CDS	2580				hypothetical protein
BAMDCOFK_01033	CDS	1794	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
BAMDCOFK_01034	CDS	489				hypothetical protein
BAMDCOFK_01035	CDS	1506	mcp4_1		COG0840	Methyl-accepting chemotaxis protein 4
BAMDCOFK_01036	CDS	5139				hypothetical protein
BAMDCOFK_01037	CDS	894				hypothetical protein
BAMDCOFK_01038	CDS	1101				hypothetical protein
BAMDCOFK_01039	CDS	255				hypothetical protein
BAMDCOFK_01040	CDS	792	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
BAMDCOFK_01041	CDS	1347				hypothetical protein
BAMDCOFK_01042	CDS	1095				hypothetical protein
BAMDCOFK_01043	CDS	918				hypothetical protein
BAMDCOFK_01044	CDS	1008	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
BAMDCOFK_01045	CDS	1080	ddl_2	6.3.2.4		D-alanine--D-alanine ligase
BAMDCOFK_01046	CDS	456				hypothetical protein
BAMDCOFK_01047	CDS	1068	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
BAMDCOFK_01048	CDS	1494	aldHT_2	1.2.1.5		Aldehyde dehydrogenase, thermostable
BAMDCOFK_01049	CDS	1095				hypothetical protein
BAMDCOFK_01050	CDS	588	sodB	1.15.1.1		Superoxide dismutase [Fe]
BAMDCOFK_01051	CDS	675				hypothetical protein
BAMDCOFK_01052	CDS	897	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
BAMDCOFK_01053	CDS	1593				hypothetical protein
BAMDCOFK_01054	CDS	1602	yveA_4		COG0531	Aspartate-proton symporter
BAMDCOFK_01055	CDS	1854				hypothetical protein
BAMDCOFK_01056	CDS	1086				hypothetical protein
BAMDCOFK_01057	CDS	1296				hypothetical protein
BAMDCOFK_01058	CDS	1098	ldh	1.4.1.9		Leucine dehydrogenase
BAMDCOFK_01059	CDS	498				hypothetical protein
BAMDCOFK_01060	CDS	1185	phaA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
BAMDCOFK_01061	CDS	282				hypothetical protein
BAMDCOFK_01062	CDS	396				hypothetical protein
BAMDCOFK_01063	CDS	2808				hypothetical protein
BAMDCOFK_01064	CDS	1302	proP_1			Proline/betaine transporter
BAMDCOFK_01065	CDS	549	regA		COG4567	Photosynthetic apparatus regulatory protein RegA
BAMDCOFK_01066	CDS	1347	regB	2.7.13.3		Sensor histidine kinase RegB
BAMDCOFK_01067	CDS	492				hypothetical protein
BAMDCOFK_01068	CDS	630	trmL	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
BAMDCOFK_01069	CDS	672	engB			GTP-binding protein EngB
BAMDCOFK_01070	CDS	1404	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
BAMDCOFK_01071	CDS	1305	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
BAMDCOFK_01072	CDS	1035	tmpC_3		COG1744	Membrane lipoprotein TmpC
BAMDCOFK_01073	CDS	1776	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
BAMDCOFK_01074	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
BAMDCOFK_01075	CDS	1413	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
BAMDCOFK_01076	CDS	1161				hypothetical protein
BAMDCOFK_01077	CDS	1722				hypothetical protein
BAMDCOFK_01078	CDS	933	cmpR			HTH-type transcriptional activator CmpR
BAMDCOFK_01079	CDS	681	polC	2.7.7.7		DNA polymerase III PolC-type
BAMDCOFK_01080	CDS	2220				hypothetical protein
BAMDCOFK_01081	CDS	510				hypothetical protein
BAMDCOFK_01082	CDS	609				hypothetical protein
BAMDCOFK_01083	CDS	666				hypothetical protein
BAMDCOFK_01084	CDS	897	hisJ			putative histidine-binding protein
BAMDCOFK_01085	CDS	450				hypothetical protein
BAMDCOFK_01086	CDS	333	yecS		COG0765	L-cystine transport system permease protein YecS
BAMDCOFK_01087	CDS	759	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
BAMDCOFK_01088	CDS	1620				hypothetical protein
BAMDCOFK_01089	CDS	927				hypothetical protein
BAMDCOFK_01090	CDS	792	aqpZ2			Aquaporin Z 2
BAMDCOFK_01091	CDS	837	kdsA_1	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
BAMDCOFK_01092	CDS	1287				hypothetical protein
BAMDCOFK_01093	CDS	693	kdsA_2	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
BAMDCOFK_01094	CDS	432				hypothetical protein
BAMDCOFK_01095	CDS	2040				hypothetical protein
BAMDCOFK_01096	CDS	2604				hypothetical protein
BAMDCOFK_01097	CDS	861				hypothetical protein
BAMDCOFK_01098	CDS	1323	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
BAMDCOFK_01099	CDS	975		1.18.1.2	COG0492	Ferredoxin--NADP reductase
BAMDCOFK_01100	CDS	666				hypothetical protein
BAMDCOFK_01101	CDS	513				hypothetical protein
BAMDCOFK_01102	CDS	678	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
BAMDCOFK_01103	CDS	837				hypothetical protein
BAMDCOFK_01104	CDS	957				hypothetical protein
BAMDCOFK_01105	CDS	774	lexA	3.4.21.88	COG1974	LexA repressor
BAMDCOFK_01106	CDS	1002	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
BAMDCOFK_01107	CDS	1923	mutL			DNA mismatch repair protein MutL
BAMDCOFK_01108	CDS	489				hypothetical protein
BAMDCOFK_01109	CDS	546				hypothetical protein
BAMDCOFK_01110	CDS	1014	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
BAMDCOFK_01111	CDS	609	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
BAMDCOFK_01112	CDS	1383	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
BAMDCOFK_01113	CDS	2445	lon	3.4.21.53	COG0466	Lon protease
BAMDCOFK_01114	CDS	1722				hypothetical protein
BAMDCOFK_01115	CDS	1035	hemH	4.99.1.1	COG0276	Ferrochelatase
BAMDCOFK_01116	CDS	2034	uvrB		COG0556	UvrABC system protein B
BAMDCOFK_01117	CDS	828	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
BAMDCOFK_01118	CDS	1092	cheB_2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
BAMDCOFK_01119	CDS	996				hypothetical protein
BAMDCOFK_01120	CDS	243				hypothetical protein
BAMDCOFK_01121	CDS	1707				hypothetical protein
BAMDCOFK_01122	CDS	834				hypothetical protein
BAMDCOFK_01123	CDS	1404	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
BAMDCOFK_01124	CDS	1539	yveA_5		COG0531	Aspartate-proton symporter
BAMDCOFK_01125	CDS	3030	bepE			Efflux pump membrane transporter BepE
BAMDCOFK_01126	CDS	1110	mdtA_1			Multidrug resistance protein MdtA
BAMDCOFK_01127	CDS	2844	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
BAMDCOFK_01128	CDS	1404	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_01129	CDS	1788				hypothetical protein
BAMDCOFK_01130	CDS	957	astE_1	3.5.1.96		Succinylglutamate desuccinylase
BAMDCOFK_01131	CDS	180				hypothetical protein
BAMDCOFK_01132	CDS	231	rpmB		COG0227	50S ribosomal protein L28
BAMDCOFK_01133	CDS	2628	lon2	3.4.21.53	COG0466	Lon protease 2
BAMDCOFK_01134	CDS	1251	nifS	2.8.1.7	COG1104	Cysteine desulfurase NifS
BAMDCOFK_01135	CDS	1200	vioD	4.2.1.145		Capreomycidine synthase
BAMDCOFK_01136	CDS	681				hypothetical protein
BAMDCOFK_01137	CDS	516				hypothetical protein
BAMDCOFK_01138	CDS	810				hypothetical protein
BAMDCOFK_01139	CDS	417				hypothetical protein
BAMDCOFK_01140	CDS	822	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
BAMDCOFK_01141	CDS	1485				hypothetical protein
BAMDCOFK_01142	CDS	2043				hypothetical protein
BAMDCOFK_01143	CDS	1359	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
BAMDCOFK_01144	CDS	999	xerD_1		COG4974	Tyrosine recombinase XerD
BAMDCOFK_01145	CDS	966				hypothetical protein
BAMDCOFK_01146	CDS	1902	mutS_2			DNA mismatch repair protein MutS
BAMDCOFK_01147	CDS	474				hypothetical protein
BAMDCOFK_01148	CDS	330				hypothetical protein
BAMDCOFK_01149	CDS	204				hypothetical protein
BAMDCOFK_01150	CDS	597				hypothetical protein
BAMDCOFK_01151	CDS	804				hypothetical protein
BAMDCOFK_01152	CDS	1275		1.6.99.-	COG1252	NADH dehydrogenase-like protein
BAMDCOFK_01153	CDS	624	tdk	2.7.1.21		Thymidine kinase
BAMDCOFK_01154	CDS	1227	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
BAMDCOFK_01155	CDS	933	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
